company_id,sector,region,founded_year,founder_count,founder_prior_exits,founder_technical_pct,initial_funding_stage,initial_capital,failed,acquired,fail_month,months_observed,outcome
SU-10021,Fintech,US-EastCoast,2021,3,0,0.521,Pre-Seed,205839.43,True,False,22,23,Failed
SU-10022,AI/ML,India,2019,3,1,0.368,Seed,1716884.66,False,False,-1,42,Active
SU-10023,HealthTech,US-Other,2014,2,1,0.88,Series B,16949275.43,True,False,37,38,Failed
SU-10024,E-commerce,India,2021,3,0,0.967,Seed,1663731.56,True,False,24,25,Failed
SU-10025,SaaS,Europe,2015,2,0,0.657,Pre-Seed,394049.5,True,False,27,28,Failed
SU-10026,Marketplace,Europe,2022,4,1,0.588,Pre-Seed,328745.38,False,False,-1,42,Active
SU-10027,EdTech,US-WestCoast,2021,2,1,0.639,Series A,13576922.73,True,False,15,16,Failed
SU-10028,AI/ML,India,2021,4,1,0.271,Seed,1538298.38,False,False,-1,42,Active
SU-10029,ConsumerApps,Europe,2021,3,0,0.593,Series A,11627890.74,False,True,32,33,Acquired
SU-10030,DeepTech,India,2022,2,0,0.308,Seed,2519283.54,True,False,25,26,Failed
SU-10031,Fintech,LatAm,2018,5,2,0.637,Seed,1277966.71,False,True,38,39,Acquired
SU-10032,EdTech,Europe,2014,3,0,0.529,Series C+,61152351.57,False,False,-1,42,Active
SU-10033,Marketplace,SEA,2016,1,1,0.25,Pre-Seed,195356.34,False,False,-1,42,Active
SU-10034,AI/ML,India,2015,3,0,0.889,Pre-Seed,110464.62,True,False,34,35,Failed
SU-10035,HealthTech,SEA,2014,5,0,0.836,Series A,5862608.8,True,False,23,24,Failed
SU-10036,SaaS,India,2016,3,1,0.906,Pre-Seed,207388.91,False,False,-1,42,Active
SU-10037,E-commerce,Europe,2022,4,2,0.267,Series B,28590023.1,False,False,-1,42,Active
SU-10038,AI/ML,US-Other,2018,2,0,0.703,Seed,1674195.89,True,False,19,20,Failed
SU-10039,Fintech,US-EastCoast,2017,3,0,0.888,Series A,7242121.57,False,True,31,32,Acquired
SU-10040,EdTech,US-EastCoast,2019,4,0,0.524,Seed,1413151.7,True,False,18,19,Failed
SU-10041,HealthTech,US-EastCoast,2021,3,0,0.725,Pre-Seed,346853.47,False,False,-1,42,Active
SU-10042,SaaS,US-WestCoast,2020,4,1,0.265,Series A,6577082.39,False,True,28,29,Acquired
SU-10043,DeepTech,India,2020,3,0,0.699,Series C+,42725341.86,True,False,20,21,Failed
SU-10044,HealthTech,LatAm,2021,2,0,0.682,Pre-Seed,179840.11,True,False,24,25,Failed
SU-10045,HealthTech,US-WestCoast,2022,2,0,0.811,Series A,8724407.93,True,False,16,17,Failed
SU-10046,EdTech,India,2019,2,0,0.554,Series A,16309001.55,True,False,16,17,Failed
SU-10047,E-commerce,SEA,2018,4,1,0.263,Pre-Seed,342586.96,False,False,-1,42,Active
SU-10048,E-commerce,US-WestCoast,2015,4,0,0.513,Seed,2321579.11,True,False,15,16,Failed
SU-10049,ConsumerApps,SEA,2020,5,1,0.22,Series C+,65464447.24,False,True,25,26,Acquired
SU-10050,ClimateTech,India,2020,2,0,0.285,Series C+,71861323.78,True,False,18,19,Failed
SU-10051,SaaS,US-WestCoast,2021,5,1,0.553,Series A,6032321.48,False,False,-1,42,Active
SU-10052,DeepTech,SEA,2020,1,0,0.717,Series A,9434179.81,True,False,18,19,Failed
SU-10053,DeepTech,SEA,2017,4,2,0.48,Series B,16931740.73,False,False,-1,42,Active
SU-10054,Marketplace,US-Other,2014,5,0,0.837,Seed,1308397.0,False,False,-1,42,Active
SU-10055,HealthTech,US-WestCoast,2018,2,0,0.526,Seed,829674.5,False,False,-1,42,Active
SU-10056,ConsumerApps,Europe,2020,3,0,0.537,Pre-Seed,334954.16,True,False,22,23,Failed
SU-10057,Fintech,SEA,2015,4,0,0.707,Series B,21466277.37,True,False,20,21,Failed
SU-10058,AI/ML,Europe,2015,1,0,0.462,Series C+,44925151.09,False,False,-1,42,Active
SU-10059,HealthTech,US-EastCoast,2014,1,0,0.509,Seed,2165553.26,False,False,-1,42,Active
SU-10060,ClimateTech,US-EastCoast,2020,2,0,0.716,Seed,980103.88,True,False,13,14,Failed
SU-10061,SaaS,US-Other,2016,4,0,0.081,Series B,16773822.78,False,False,-1,42,Active
SU-10062,AI/ML,India,2018,2,0,0.416,Pre-Seed,113854.0,True,False,29,30,Failed
SU-10063,AI/ML,Europe,2016,3,1,0.809,Pre-Seed,225139.06,False,False,-1,42,Active
SU-10064,EdTech,Europe,2018,4,1,0.467,Pre-Seed,281670.49,True,False,29,30,Failed
SU-10065,DeepTech,US-WestCoast,2017,2,1,0.714,Pre-Seed,268389.68,False,False,-1,42,Active
SU-10066,Marketplace,US-WestCoast,2020,3,0,0.757,Series B,23286084.03,False,False,-1,42,Active
SU-10067,Fintech,US-EastCoast,2019,1,0,0.903,Seed,2173184.09,True,False,18,19,Failed
SU-10068,ClimateTech,US-EastCoast,2021,4,1,0.871,Seed,1397571.34,True,False,24,25,Failed
SU-10069,SaaS,Europe,2021,2,1,0.37,Pre-Seed,413510.48,True,False,21,22,Failed
SU-10070,ConsumerApps,SEA,2021,2,1,0.529,Series A,9189103.66,True,False,20,21,Failed
SU-10071,ConsumerApps,US-WestCoast,2019,4,0,0.491,Series A,7742983.0,False,False,-1,42,Active
SU-10072,Marketplace,US-EastCoast,2017,4,2,0.394,Pre-Seed,281255.92,True,False,18,19,Failed
SU-10073,E-commerce,US-Other,2020,3,1,0.373,Seed,1222330.35,False,False,-1,42,Active
SU-10074,AI/ML,US-WestCoast,2016,5,0,0.461,Series C+,40668663.08,True,False,14,15,Failed
SU-10075,E-commerce,US-WestCoast,2022,2,0,0.403,Pre-Seed,360946.51,True,False,17,18,Failed
SU-10076,E-commerce,India,2019,2,0,0.278,Pre-Seed,231032.85,False,False,-1,42,Active
SU-10077,DeepTech,US-EastCoast,2014,3,0,0.213,Seed,1805359.61,True,False,23,24,Failed
SU-10078,DeepTech,US-EastCoast,2016,4,1,0.708,Pre-Seed,250527.01,True,False,28,29,Failed
SU-10079,Fintech,Europe,2022,3,0,0.338,Seed,1781104.11,False,False,-1,42,Active
SU-10080,SaaS,US-Other,2018,2,2,0.886,Series B,16643599.89,False,True,18,19,Acquired
SU-10081,EdTech,US-Other,2014,5,2,0.295,Pre-Seed,192807.77,False,False,-1,42,Active
SU-10082,E-commerce,US-WestCoast,2018,2,0,0.799,Series A,4872205.99,False,False,-1,42,Active
SU-10083,SaaS,LatAm,2018,2,1,0.836,Series A,9884332.04,False,True,16,17,Acquired
SU-10084,AI/ML,India,2018,3,1,0.348,Series B,33354390.77,False,False,-1,42,Active
SU-10085,Fintech,US-Other,2019,3,0,0.486,Seed,2484997.83,True,False,18,19,Failed
SU-10086,Fintech,SEA,2021,3,0,0.372,Pre-Seed,310166.13,False,False,-1,42,Active
SU-10087,EdTech,LatAm,2020,3,0,0.772,Seed,1499269.04,False,False,-1,42,Active
SU-10088,ConsumerApps,US-Other,2019,5,1,0.448,Series A,9323805.2,True,False,21,22,Failed
SU-10089,SaaS,India,2020,4,1,0.494,Pre-Seed,213086.04,False,False,-1,42,Active
SU-10090,HealthTech,US-WestCoast,2021,1,0,0.597,Pre-Seed,230720.84,False,False,-1,42,Active
SU-10091,AI/ML,US-EastCoast,2022,2,0,0.337,Series A,8175258.29,True,False,14,15,Failed
SU-10092,AI/ML,India,2021,1,1,0.725,Series A,8521300.09,True,False,16,17,Failed
SU-10093,SaaS,LatAm,2022,2,1,0.476,Pre-Seed,299867.92,True,False,29,30,Failed
SU-10094,DeepTech,India,2017,4,1,0.494,Series B,37176022.33,False,False,-1,42,Active
SU-10095,E-commerce,Europe,2015,1,0,0.548,Series A,14870969.79,True,False,38,39,Failed
SU-10096,E-commerce,US-WestCoast,2015,5,1,0.697,Series A,14599974.65,False,True,17,18,Acquired
SU-10097,E-commerce,US-EastCoast,2017,3,0,0.265,Series C+,66007634.16,True,False,15,16,Failed
SU-10098,ConsumerApps,US-Other,2019,5,0,0.766,Seed,3545089.97,False,False,-1,42,Active
SU-10099,E-commerce,US-WestCoast,2020,1,0,0.242,Series A,6127277.24,True,False,22,23,Failed
SU-10100,Fintech,US-EastCoast,2017,3,1,0.855,Seed,1858933.6,True,False,27,28,Failed
SU-10101,ClimateTech,Europe,2022,3,0,0.886,Pre-Seed,157365.56,True,False,38,39,Failed
SU-10102,Fintech,US-WestCoast,2017,2,0,0.119,Seed,1264008.47,False,False,-1,42,Active
SU-10103,ClimateTech,LatAm,2021,1,0,0.314,Series A,12567810.95,False,False,-1,42,Active
SU-10104,Marketplace,LatAm,2018,1,0,0.528,Pre-Seed,168762.43,False,False,-1,42,Active
SU-10105,E-commerce,Europe,2018,4,0,0.355,Seed,2703967.89,False,False,-1,42,Active
SU-10106,Marketplace,US-Other,2017,5,1,0.683,Seed,1967056.48,False,False,-1,42,Active
SU-10107,SaaS,US-WestCoast,2017,2,0,0.645,Series A,10086219.42,False,False,-1,42,Active
SU-10108,Fintech,India,2019,1,1,0.555,Pre-Seed,440753.4,False,False,-1,42,Active
SU-10109,ConsumerApps,US-WestCoast,2019,5,2,0.075,Pre-Seed,214388.98,True,False,25,26,Failed
SU-10110,AI/ML,Europe,2020,5,1,0.379,Series C+,42334317.4,False,False,-1,42,Active
SU-10111,ConsumerApps,US-Other,2017,2,1,0.272,Pre-Seed,285167.42,False,False,-1,42,Active
SU-10112,EdTech,India,2018,2,0,0.098,Pre-Seed,239398.05,True,False,33,34,Failed
SU-10113,EdTech,US-Other,2015,1,1,0.274,Series A,20660062.24,True,False,15,16,Failed
SU-10114,ClimateTech,US-Other,2019,2,0,0.236,Seed,1443779.47,False,False,-1,42,Active
SU-10115,E-commerce,LatAm,2014,2,0,0.819,Seed,1372423.52,True,False,19,20,Failed
SU-10116,DeepTech,US-WestCoast,2018,3,0,0.134,Series A,10693476.86,False,False,-1,42,Active
SU-10117,Marketplace,LatAm,2021,2,0,0.303,Seed,1342269.2,False,False,-1,42,Active
SU-10118,ClimateTech,US-Other,2017,2,0,0.695,Pre-Seed,293898.74,True,False,22,23,Failed
SU-10119,ClimateTech,LatAm,2015,2,1,0.251,Pre-Seed,204023.04,False,False,-1,42,Active
SU-10120,Fintech,SEA,2019,3,1,0.627,Pre-Seed,545502.11,False,False,-1,42,Active
SU-10121,AI/ML,LatAm,2017,4,0,0.391,Series A,10385038.44,True,False,16,17,Failed
SU-10122,DeepTech,US-EastCoast,2022,1,0,0.632,Seed,2220559.82,True,False,25,26,Failed
SU-10123,ConsumerApps,US-WestCoast,2017,3,0,0.84,Pre-Seed,298845.08,True,False,15,16,Failed
SU-10124,DeepTech,India,2019,5,1,0.804,Series A,8113516.04,False,True,41,42,Acquired
SU-10125,SaaS,Europe,2020,3,0,0.535,Pre-Seed,150124.15,True,False,34,35,Failed
SU-10126,ClimateTech,US-EastCoast,2015,4,1,0.648,Pre-Seed,201493.74,False,False,-1,42,Active
SU-10127,E-commerce,Europe,2015,2,0,0.434,Series A,6429072.93,False,False,-1,42,Active
SU-10128,E-commerce,US-WestCoast,2017,3,1,0.768,Seed,745538.7,True,False,20,21,Failed
SU-10129,ConsumerApps,India,2016,5,1,0.961,Seed,1671551.37,False,False,-1,42,Active
SU-10130,DeepTech,SEA,2018,1,0,0.795,Series B,33543688.94,False,True,2,3,Acquired
SU-10131,Fintech,US-EastCoast,2017,4,0,0.714,Seed,926719.22,True,False,19,20,Failed
SU-10132,SaaS,US-EastCoast,2020,3,1,0.761,Pre-Seed,166375.13,True,False,29,30,Failed
SU-10133,EdTech,US-Other,2016,2,1,0.841,Pre-Seed,358358.63,False,False,-1,42,Active
SU-10134,E-commerce,US-WestCoast,2022,2,1,0.736,Pre-Seed,177099.67,False,False,-1,42,Active
SU-10135,EdTech,Europe,2017,5,2,0.744,Seed,911966.37,False,False,-1,42,Active
SU-10136,Fintech,Europe,2015,5,0,0.633,Pre-Seed,134224.74,False,False,-1,42,Active
SU-10137,Marketplace,US-WestCoast,2017,2,1,0.506,Pre-Seed,285069.4,False,False,-1,42,Active
SU-10138,ClimateTech,US-EastCoast,2021,3,1,0.517,Seed,896349.19,False,False,-1,42,Active
SU-10139,SaaS,India,2021,2,0,0.321,Series A,6700154.58,False,False,-1,42,Active
SU-10140,DeepTech,India,2016,3,1,0.128,Seed,1447059.22,False,False,-1,42,Active
SU-10141,Marketplace,LatAm,2018,1,0,0.645,Series C+,62905762.32,False,False,-1,42,Active
SU-10142,DeepTech,India,2016,4,0,0.265,Pre-Seed,312791.14,True,False,29,30,Failed
SU-10143,ClimateTech,US-WestCoast,2021,3,1,0.579,Seed,1274362.75,True,False,14,15,Failed
SU-10144,DeepTech,US-EastCoast,2016,1,1,0.912,Seed,1279874.09,False,False,-1,42,Active
SU-10145,SaaS,US-EastCoast,2019,5,3,0.631,Pre-Seed,360690.87,False,False,-1,42,Active
SU-10146,Fintech,US-WestCoast,2015,2,0,0.291,Series B,24731665.95,True,False,24,25,Failed
SU-10147,AI/ML,India,2018,3,0,0.402,Series A,5054659.21,False,False,-1,42,Active
SU-10148,ConsumerApps,SEA,2020,1,0,0.565,Pre-Seed,205097.89,True,False,17,18,Failed
SU-10149,HealthTech,Europe,2016,4,1,0.571,Seed,979820.06,True,False,16,17,Failed
SU-10150,ConsumerApps,US-Other,2016,4,1,0.121,Seed,1614779.66,False,False,-1,42,Active
SU-10151,Marketplace,India,2019,1,0,0.434,Pre-Seed,356698.63,False,False,-1,42,Active
SU-10152,Fintech,US-WestCoast,2014,4,1,0.562,Seed,1348396.0,False,False,-1,42,Active
SU-10153,E-commerce,India,2017,3,1,0.106,Seed,1892670.69,False,False,-1,42,Active
SU-10154,SaaS,Europe,2022,4,1,0.202,Series C+,55428031.95,False,True,40,41,Acquired
SU-10155,EdTech,US-EastCoast,2021,3,0,0.309,Seed,1505778.5,True,False,23,24,Failed
SU-10156,AI/ML,SEA,2015,2,1,0.183,Series A,7204265.45,False,False,-1,42,Active
SU-10157,Marketplace,US-WestCoast,2014,2,1,0.455,Pre-Seed,357771.86,False,False,-1,42,Active
SU-10158,Marketplace,US-WestCoast,2022,3,0,0.756,Series C+,31639495.67,True,False,21,22,Failed
SU-10159,EdTech,Europe,2016,2,0,0.703,Seed,1033777.12,False,False,-1,42,Active
SU-10160,Marketplace,SEA,2020,2,0,0.304,Seed,1757727.31,False,False,-1,42,Active
SU-10161,SaaS,SEA,2015,4,2,0.235,Series B,19024433.29,False,False,-1,42,Active
SU-10162,Fintech,US-WestCoast,2018,5,0,0.106,Seed,1471348.57,False,False,-1,42,Active
SU-10163,EdTech,LatAm,2016,3,0,0.232,Series B,24710361.91,True,False,24,25,Failed
SU-10164,Fintech,US-EastCoast,2021,4,3,0.584,Pre-Seed,503607.91,False,False,-1,42,Active
SU-10165,DeepTech,US-EastCoast,2020,5,2,0.412,Pre-Seed,230169.36,False,False,-1,42,Active
SU-10166,Fintech,US-WestCoast,2020,2,0,0.692,Seed,938324.38,True,False,18,19,Failed
SU-10167,E-commerce,US-WestCoast,2019,1,0,0.695,Seed,1139253.58,True,False,26,27,Failed
SU-10168,Fintech,Europe,2014,3,1,0.432,Pre-Seed,278050.85,False,False,-1,42,Active
SU-10169,EdTech,LatAm,2019,2,0,0.597,Series A,9958515.28,True,False,33,34,Failed
SU-10170,SaaS,LatAm,2018,2,0,0.742,Seed,1772296.47,True,False,16,17,Failed
SU-10171,DeepTech,LatAm,2018,3,0,0.563,Series C+,50482699.28,True,False,29,30,Failed
SU-10172,DeepTech,US-WestCoast,2016,2,1,0.615,Seed,2933572.06,True,False,18,19,Failed
SU-10173,AI/ML,US-Other,2018,3,1,0.528,Pre-Seed,284211.54,False,False,-1,42,Active
SU-10174,HealthTech,LatAm,2021,5,0,0.603,Pre-Seed,301028.15,True,False,21,22,Failed
SU-10175,Marketplace,US-WestCoast,2016,1,0,0.567,Seed,1528487.23,False,False,-1,42,Active
SU-10176,ConsumerApps,US-EastCoast,2017,1,0,0.146,Seed,1273378.24,True,False,25,26,Failed
SU-10177,ConsumerApps,India,2016,5,2,0.691,Series A,6687365.8,False,False,-1,42,Active
SU-10178,ClimateTech,SEA,2019,1,0,0.414,Seed,1369905.65,False,False,-1,42,Active
SU-10179,SaaS,US-EastCoast,2021,4,0,0.477,Seed,1738923.54,False,False,-1,42,Active
SU-10180,AI/ML,US-EastCoast,2021,5,1,0.437,Series B,64410110.26,True,False,16,17,Failed
SU-10181,E-commerce,India,2019,1,0,0.635,Series A,5948155.13,False,False,-1,42,Active
SU-10182,E-commerce,SEA,2022,2,0,0.715,Series C+,73482796.68,True,False,18,19,Failed
SU-10183,E-commerce,Europe,2021,2,0,0.613,Pre-Seed,281104.29,False,False,-1,42,Active
SU-10184,ClimateTech,India,2016,1,0,0.382,Series B,13594968.74,True,False,20,21,Failed
SU-10185,AI/ML,US-WestCoast,2021,2,0,0.804,Seed,783296.53,True,False,25,26,Failed
SU-10186,Marketplace,Europe,2016,3,1,0.339,Series B,29138353.92,False,True,18,19,Acquired
SU-10187,E-commerce,US-Other,2014,4,1,0.522,Series B,25824241.17,False,True,7,8,Acquired
SU-10188,ConsumerApps,India,2019,3,1,0.552,Pre-Seed,159340.48,True,False,32,33,Failed
SU-10189,DeepTech,US-EastCoast,2020,1,1,0.544,Series A,4911877.11,True,False,23,24,Failed
SU-10190,HealthTech,US-EastCoast,2016,1,0,0.193,Series A,10132440.15,False,False,-1,42,Active
SU-10191,HealthTech,US-Other,2018,3,1,0.746,Pre-Seed,295486.95,False,False,-1,42,Active
SU-10192,Fintech,US-WestCoast,2016,4,0,0.588,Pre-Seed,483778.48,False,False,-1,42,Active
SU-10193,Fintech,Europe,2019,4,0,0.246,Pre-Seed,292303.44,True,False,19,20,Failed
SU-10194,Marketplace,India,2014,3,1,0.402,Series B,9506154.19,False,True,30,31,Acquired
SU-10195,AI/ML,US-Other,2018,5,2,0.541,Series A,7232188.09,False,False,-1,42,Active
SU-10196,ClimateTech,US-Other,2017,3,0,0.409,Seed,1591665.52,False,False,-1,42,Active
SU-10197,AI/ML,SEA,2020,2,0,0.117,Series A,10749072.31,True,False,30,31,Failed
SU-10198,ClimateTech,India,2019,2,0,0.432,Seed,1884201.88,True,False,23,24,Failed
SU-10199,HealthTech,India,2021,4,0,0.449,Seed,1774612.54,False,False,-1,42,Active
SU-10200,ConsumerApps,US-WestCoast,2018,3,2,0.286,Series B,10645512.6,False,False,-1,42,Active
SU-10201,Fintech,India,2014,5,1,0.27,Series A,4027498.98,False,False,-1,42,Active
SU-10202,AI/ML,US-EastCoast,2015,4,0,0.455,Seed,1175061.03,False,False,-1,42,Active
SU-10203,DeepTech,Europe,2019,2,0,0.54,Seed,826539.64,False,False,-1,42,Active
SU-10204,SaaS,SEA,2020,3,0,0.074,Pre-Seed,258989.83,True,False,29,30,Failed
SU-10205,E-commerce,US-Other,2015,3,0,0.652,Series A,5670945.55,False,True,28,29,Acquired
SU-10206,Fintech,US-WestCoast,2017,5,2,0.872,Series A,6633688.86,False,False,-1,42,Active
SU-10207,ClimateTech,LatAm,2014,5,0,0.309,Pre-Seed,195487.55,False,False,-1,42,Active
SU-10208,ConsumerApps,US-WestCoast,2015,4,0,0.74,Seed,1615371.45,False,False,-1,42,Active
SU-10209,EdTech,US-WestCoast,2020,5,1,0.303,Seed,1498819.09,True,False,16,17,Failed
SU-10210,SaaS,US-WestCoast,2022,2,0,0.979,Series A,9708661.42,True,False,31,32,Failed
SU-10211,HealthTech,Europe,2016,1,0,0.592,Seed,1215254.87,True,False,22,23,Failed
SU-10212,DeepTech,India,2014,2,0,0.403,Series A,14928085.46,True,False,17,18,Failed
SU-10213,ConsumerApps,LatAm,2015,1,1,0.777,Seed,1240818.1,False,False,-1,42,Active
SU-10214,HealthTech,US-Other,2018,4,0,0.231,Series C+,69203365.21,True,False,31,32,Failed
SU-10215,ClimateTech,Europe,2020,2,0,0.71,Series B,21479654.94,True,False,29,30,Failed
SU-10216,EdTech,India,2018,3,1,0.719,Pre-Seed,371745.68,False,False,-1,42,Active
SU-10217,ConsumerApps,US-Other,2019,3,0,0.579,Seed,1127413.17,False,False,-1,42,Active
SU-10218,HealthTech,US-EastCoast,2018,3,1,0.393,Series A,8915006.99,False,False,-1,42,Active
SU-10219,SaaS,SEA,2019,5,2,0.378,Series A,7757802.06,False,False,-1,42,Active
SU-10220,ConsumerApps,US-EastCoast,2017,4,1,0.235,Seed,1182726.48,False,False,-1,42,Active
SU-10221,HealthTech,Europe,2018,5,1,0.252,Pre-Seed,258014.51,True,False,41,42,Failed
SU-10222,Fintech,US-Other,2022,5,0,0.58,Seed,1068414.32,True,False,17,18,Failed
SU-10223,EdTech,Europe,2020,3,1,0.97,Pre-Seed,248194.74,False,False,-1,42,Active
SU-10224,EdTech,US-WestCoast,2022,4,0,0.516,Seed,1364084.27,True,False,19,20,Failed
SU-10225,ClimateTech,US-EastCoast,2014,3,0,0.23,Pre-Seed,293054.73,False,False,-1,42,Active
SU-10226,EdTech,India,2015,3,0,0.065,Series A,5574654.02,True,False,29,30,Failed
SU-10227,EdTech,India,2021,5,0,0.605,Series A,2938531.93,False,False,-1,42,Active
SU-10228,HealthTech,India,2015,2,1,0.25,Pre-Seed,359689.11,True,False,20,21,Failed
SU-10229,DeepTech,Europe,2014,2,1,0.576,Series A,5139166.54,True,False,16,17,Failed
SU-10230,AI/ML,LatAm,2020,4,1,0.248,Seed,1121236.55,False,False,-1,42,Active
SU-10231,HealthTech,US-EastCoast,2016,3,0,0.701,Pre-Seed,364714.29,True,False,22,23,Failed
SU-10232,HealthTech,LatAm,2017,3,2,0.096,Series A,4229014.22,False,False,-1,42,Active
SU-10233,Fintech,Europe,2015,5,0,0.874,Seed,2539691.1,False,False,-1,42,Active
SU-10234,DeepTech,Europe,2015,2,1,0.621,Seed,1444087.0,True,False,24,25,Failed
SU-10235,HealthTech,India,2022,4,1,0.651,Seed,1063746.02,True,False,19,20,Failed
SU-10236,HealthTech,US-WestCoast,2022,3,0,0.455,Seed,1503788.48,False,False,-1,42,Active
SU-10237,Fintech,US-WestCoast,2015,3,0,0.76,Pre-Seed,476378.95,False,False,-1,42,Active
SU-10238,EdTech,Europe,2019,2,2,0.577,Series B,27102097.7,True,False,16,17,Failed
SU-10239,AI/ML,US-Other,2022,3,2,0.478,Series A,11257515.6,False,True,23,24,Acquired
SU-10240,E-commerce,US-EastCoast,2015,2,1,0.717,Pre-Seed,149521.04,False,False,-1,42,Active
SU-10241,HealthTech,Europe,2020,4,1,0.88,Pre-Seed,128791.51,True,False,15,16,Failed
SU-10242,Marketplace,LatAm,2014,3,0,0.424,Series B,27801479.54,False,False,-1,42,Active
SU-10243,SaaS,US-WestCoast,2020,4,0,0.637,Pre-Seed,184838.21,False,False,-1,42,Active
SU-10244,E-commerce,US-EastCoast,2016,2,0,0.248,Series A,9677450.54,True,False,17,18,Failed
SU-10245,Marketplace,India,2020,4,1,0.629,Pre-Seed,160120.65,False,False,-1,42,Active
SU-10246,Marketplace,SEA,2021,3,0,0.297,Series A,6141780.87,True,False,21,22,Failed
SU-10247,AI/ML,India,2016,1,0,0.183,Pre-Seed,238704.29,True,False,14,15,Failed
SU-10248,AI/ML,India,2020,4,0,0.896,Seed,1560950.54,True,False,14,15,Failed
SU-10249,E-commerce,SEA,2016,4,0,0.365,Seed,1483946.02,True,False,29,30,Failed
SU-10250,HealthTech,India,2022,5,2,0.597,Series A,5037772.99,True,False,20,21,Failed
SU-10251,ClimateTech,Europe,2018,2,0,0.466,Seed,1265638.12,True,False,16,17,Failed
SU-10252,ConsumerApps,US-EastCoast,2017,3,2,0.883,Seed,751770.77,False,False,-1,42,Active
SU-10253,SaaS,US-EastCoast,2019,2,0,0.264,Seed,2171637.2,True,False,16,17,Failed
SU-10254,DeepTech,SEA,2022,5,0,0.579,Pre-Seed,186257.24,False,False,-1,42,Active
SU-10255,DeepTech,Europe,2020,4,2,0.697,Seed,1438793.81,True,False,13,14,Failed
SU-10256,Fintech,India,2015,2,0,0.364,Pre-Seed,182221.66,True,False,38,39,Failed
SU-10257,HealthTech,India,2015,4,0,0.335,Series A,8011580.45,False,True,25,26,Acquired
SU-10258,SaaS,US-WestCoast,2016,2,1,0.404,Pre-Seed,249219.51,True,False,17,18,Failed
SU-10259,Fintech,US-Other,2019,2,0,0.637,Series C+,43705184.69,False,False,-1,42,Active
SU-10260,ConsumerApps,India,2015,3,0,0.568,Series A,9839489.18,True,False,19,20,Failed
SU-10261,AI/ML,US-WestCoast,2020,3,0,0.853,Pre-Seed,382557.8,True,False,37,38,Failed
SU-10262,ConsumerApps,SEA,2020,2,0,0.74,Seed,1908167.73,False,False,-1,42,Active
SU-10263,EdTech,US-WestCoast,2014,5,0,0.216,Series A,15954008.67,True,False,32,33,Failed
SU-10264,Marketplace,India,2015,2,0,0.287,Series A,8698440.8,True,False,18,19,Failed
SU-10265,DeepTech,India,2021,3,0,0.952,Pre-Seed,302715.79,True,False,19,20,Failed
SU-10266,HealthTech,US-Other,2016,5,0,0.513,Seed,809785.26,True,False,26,27,Failed
SU-10267,EdTech,US-EastCoast,2018,2,1,0.133,Pre-Seed,177341.3,True,False,25,26,Failed
SU-10268,HealthTech,Europe,2014,2,0,0.539,Seed,1395439.04,False,False,-1,42,Active
SU-10269,Marketplace,India,2020,4,0,0.374,Pre-Seed,253631.66,True,False,19,20,Failed
SU-10270,SaaS,US-Other,2019,1,0,0.384,Seed,2471708.91,False,False,-1,42,Active
