company_id,sector,region,founded_year,founder_count,founder_prior_exits,founder_technical_pct,initial_funding_stage,initial_capital,months_observed,failed,acquired,fail_month
SU-10032,EdTech,Europe,2014,3,0,0.529,Series C+,61152351.57,42,False,False,-1
SU-10033,Marketplace,SEA,2016,1,1,0.25,Pre-Seed,195356.34,42,False,False,-1
SU-10034,AI/ML,India,2015,3,0,0.889,Pre-Seed,110464.62,35,True,False,34
SU-10035,HealthTech,SEA,2014,5,0,0.836,Series A,5862608.8,24,True,False,23
SU-10036,SaaS,India,2016,3,1,0.906,Pre-Seed,207388.91,42,False,False,-1
SU-10037,E-commerce,Europe,2022,4,2,0.267,Series B,28590023.1,42,False,False,-1
SU-10038,AI/ML,US-Other,2018,2,0,0.703,Seed,1674195.89,20,True,False,19
SU-10039,Fintech,US-EastCoast,2017,3,0,0.888,Series A,7242121.57,32,False,True,31
SU-10040,EdTech,US-EastCoast,2019,4,0,0.524,Seed,1413151.7,19,True,False,18
SU-10041,HealthTech,US-EastCoast,2021,3,0,0.725,Pre-Seed,346853.47,42,False,False,-1
SU-10042,SaaS,US-WestCoast,2020,4,1,0.265,Series A,6577082.39,29,False,True,28
SU-10043,DeepTech,India,2020,3,0,0.699,Series C+,42725341.86,21,True,False,20
SU-10044,HealthTech,LatAm,2021,2,0,0.682,Pre-Seed,179840.11,25,True,False,24
SU-10045,HealthTech,US-WestCoast,2022,2,0,0.811,Series A,8724407.93,17,True,False,16
SU-10046,EdTech,India,2019,2,0,0.554,Series A,16309001.55,17,True,False,16
SU-10047,E-commerce,SEA,2018,4,1,0.263,Pre-Seed,342586.96,42,False,False,-1
SU-10048,E-commerce,US-WestCoast,2015,4,0,0.513,Seed,2321579.11,16,True,False,15
SU-10049,ConsumerApps,SEA,2020,5,1,0.22,Series C+,65464447.24,26,False,True,25
SU-10050,ClimateTech,India,2020,2,0,0.285,Series C+,71861323.78,19,True,False,18
SU-10051,SaaS,US-WestCoast,2021,5,1,0.553,Series A,6032321.48,42,False,False,-1
SU-10052,DeepTech,SEA,2020,1,0,0.717,Series A,9434179.81,19,True,False,18
SU-10053,DeepTech,SEA,2017,4,2,0.48,Series B,16931740.73,42,False,False,-1
SU-10054,Marketplace,US-Other,2014,5,0,0.837,Seed,1308397.0,42,False,False,-1
SU-10055,HealthTech,US-WestCoast,2018,2,0,0.526,Seed,829674.5,42,False,False,-1
SU-10056,ConsumerApps,Europe,2020,3,0,0.537,Pre-Seed,334954.16,23,True,False,22
SU-10057,Fintech,SEA,2015,4,0,0.707,Series B,21466277.37,21,True,False,20
SU-10058,AI/ML,Europe,2015,1,0,0.462,Series C+,44925151.09,42,False,False,-1
SU-10059,HealthTech,US-EastCoast,2014,1,0,0.509,Seed,2165553.26,42,False,False,-1
SU-10060,ClimateTech,US-EastCoast,2020,2,0,0.716,Seed,980103.88,14,True,False,13
SU-10061,SaaS,US-Other,2016,4,0,0.081,Series B,16773822.78,42,False,False,-1
SU-10062,AI/ML,India,2018,2,0,0.416,Pre-Seed,113854.0,30,True,False,29
SU-10063,AI/ML,Europe,2016,3,1,0.809,Pre-Seed,225139.06,42,False,False,-1
SU-10064,EdTech,Europe,2018,4,1,0.467,Pre-Seed,281670.49,30,True,False,29
SU-10065,DeepTech,US-WestCoast,2017,2,1,0.714,Pre-Seed,268389.68,42,False,False,-1
SU-10066,Marketplace,US-WestCoast,2020,3,0,0.757,Series B,23286084.03,42,False,False,-1
SU-10067,Fintech,US-EastCoast,2019,1,0,0.903,Seed,2173184.09,19,True,False,18
SU-10068,ClimateTech,US-EastCoast,2021,4,1,0.871,Seed,1397571.34,25,True,False,24
SU-10069,SaaS,Europe,2021,2,1,0.37,Pre-Seed,413510.48,22,True,False,21
SU-10070,ConsumerApps,SEA,2021,2,1,0.529,Series A,9189103.66,21,True,False,20
SU-10071,ConsumerApps,US-WestCoast,2019,4,0,0.491,Series A,7742983.0,42,False,False,-1
SU-10072,Marketplace,US-EastCoast,2017,4,2,0.394,Pre-Seed,281255.92,19,True,False,18
SU-10073,E-commerce,US-Other,2020,3,1,0.373,Seed,1222330.35,42,False,False,-1
SU-10074,AI/ML,US-WestCoast,2016,5,0,0.461,Series C+,40668663.08,15,True,False,14
SU-10075,E-commerce,US-WestCoast,2022,2,0,0.403,Pre-Seed,360946.51,18,True,False,17
SU-10076,E-commerce,India,2019,2,0,0.278,Pre-Seed,231032.85,42,False,False,-1
SU-10077,DeepTech,US-EastCoast,2014,3,0,0.213,Seed,1805359.61,24,True,False,23
SU-10078,DeepTech,US-EastCoast,2016,4,1,0.708,Pre-Seed,250527.01,29,True,False,28
SU-10079,Fintech,Europe,2022,3,0,0.338,Seed,1781104.11,42,False,False,-1
SU-10080,SaaS,US-Other,2018,2,2,0.886,Series B,16643599.89,19,False,True,18
SU-10081,EdTech,US-Other,2014,5,2,0.295,Pre-Seed,192807.77,42,False,False,-1
SU-10082,E-commerce,US-WestCoast,2018,2,0,0.799,Series A,4872205.99,42,False,False,-1
SU-10083,SaaS,LatAm,2018,2,1,0.836,Series A,9884332.04,17,False,True,16
SU-10084,AI/ML,India,2018,3,1,0.348,Series B,33354390.77,42,False,False,-1
SU-10085,Fintech,US-Other,2019,3,0,0.486,Seed,2484997.83,19,True,False,18
SU-10086,Fintech,SEA,2021,3,0,0.372,Pre-Seed,310166.13,42,False,False,-1
SU-10087,EdTech,LatAm,2020,3,0,0.772,Seed,1499269.04,42,False,False,-1
SU-10088,ConsumerApps,US-Other,2019,5,1,0.448,Series A,9323805.2,22,True,False,21
SU-10089,SaaS,India,2020,4,1,0.494,Pre-Seed,213086.04,42,False,False,-1
SU-10090,HealthTech,US-WestCoast,2021,1,0,0.597,Pre-Seed,230720.84,42,False,False,-1
SU-10091,AI/ML,US-EastCoast,2022,2,0,0.337,Series A,8175258.29,15,True,False,14
SU-10092,AI/ML,India,2021,1,1,0.725,Series A,8521300.09,17,True,False,16
SU-10093,SaaS,LatAm,2022,2,1,0.476,Pre-Seed,299867.92,30,True,False,29
SU-10094,DeepTech,India,2017,4,1,0.494,Series B,37176022.33,42,False,False,-1
SU-10095,E-commerce,Europe,2015,1,0,0.548,Series A,14870969.79,39,True,False,38
SU-10096,E-commerce,US-WestCoast,2015,5,1,0.697,Series A,14599974.65,18,False,True,17
SU-10097,E-commerce,US-EastCoast,2017,3,0,0.265,Series C+,66007634.16,16,True,False,15
SU-10098,ConsumerApps,US-Other,2019,5,0,0.766,Seed,3545089.97,42,False,False,-1
SU-10099,E-commerce,US-WestCoast,2020,1,0,0.242,Series A,6127277.24,23,True,False,22
SU-10100,Fintech,US-EastCoast,2017,3,1,0.855,Seed,1858933.6,28,True,False,27
SU-10101,ClimateTech,Europe,2022,3,0,0.886,Pre-Seed,157365.56,39,True,False,38
SU-10102,Fintech,US-WestCoast,2017,2,0,0.119,Seed,1264008.47,42,False,False,-1
SU-10103,ClimateTech,LatAm,2021,1,0,0.314,Series A,12567810.95,42,False,False,-1
SU-10104,Marketplace,LatAm,2018,1,0,0.528,Pre-Seed,168762.43,42,False,False,-1
SU-10105,E-commerce,Europe,2018,4,0,0.355,Seed,2703967.89,42,False,False,-1
SU-10106,Marketplace,US-Other,2017,5,1,0.683,Seed,1967056.48,42,False,False,-1
SU-10107,SaaS,US-WestCoast,2017,2,0,0.645,Series A,10086219.42,42,False,False,-1
SU-10108,Fintech,India,2019,1,1,0.555,Pre-Seed,440753.4,42,False,False,-1
SU-10109,ConsumerApps,US-WestCoast,2019,5,2,0.075,Pre-Seed,214388.98,26,True,False,25
SU-10110,AI/ML,Europe,2020,5,1,0.379,Series C+,42334317.4,42,False,False,-1
SU-10111,ConsumerApps,US-Other,2017,2,1,0.272,Pre-Seed,285167.42,42,False,False,-1
SU-10112,EdTech,India,2018,2,0,0.098,Pre-Seed,239398.05,34,True,False,33
SU-10113,EdTech,US-Other,2015,1,1,0.274,Series A,20660062.24,16,True,False,15
SU-10114,ClimateTech,US-Other,2019,2,0,0.236,Seed,1443779.47,42,False,False,-1
SU-10115,E-commerce,LatAm,2014,2,0,0.819,Seed,1372423.52,20,True,False,19
SU-10116,DeepTech,US-WestCoast,2018,3,0,0.134,Series A,10693476.86,42,False,False,-1
SU-10117,Marketplace,LatAm,2021,2,0,0.303,Seed,1342269.2,42,False,False,-1
SU-10118,ClimateTech,US-Other,2017,2,0,0.695,Pre-Seed,293898.74,23,True,False,22
SU-10119,ClimateTech,LatAm,2015,2,1,0.251,Pre-Seed,204023.04,42,False,False,-1
SU-10120,Fintech,SEA,2019,3,1,0.627,Pre-Seed,545502.11,42,False,False,-1
SU-10121,AI/ML,LatAm,2017,4,0,0.391,Series A,10385038.44,17,True,False,16
SU-10122,DeepTech,US-EastCoast,2022,1,0,0.632,Seed,2220559.82,26,True,False,25
SU-10123,ConsumerApps,US-WestCoast,2017,3,0,0.84,Pre-Seed,298845.08,16,True,False,15
SU-10124,DeepTech,India,2019,5,1,0.804,Series A,8113516.04,42,False,True,41
SU-10125,SaaS,Europe,2020,3,0,0.535,Pre-Seed,150124.15,35,True,False,34
SU-10126,ClimateTech,US-EastCoast,2015,4,1,0.648,Pre-Seed,201493.74,42,False,False,-1
SU-10127,E-commerce,Europe,2015,2,0,0.434,Series A,6429072.93,42,False,False,-1
SU-10128,E-commerce,US-WestCoast,2017,3,1,0.768,Seed,745538.7,21,True,False,20
SU-10129,ConsumerApps,India,2016,5,1,0.961,Seed,1671551.37,42,False,False,-1
SU-10130,DeepTech,SEA,2018,1,0,0.795,Series B,33543688.94,3,False,True,2
SU-10131,Fintech,US-EastCoast,2017,4,0,0.714,Seed,926719.22,20,True,False,19
SU-10132,SaaS,US-EastCoast,2020,3,1,0.761,Pre-Seed,166375.13,30,True,False,29
SU-10133,EdTech,US-Other,2016,2,1,0.841,Pre-Seed,358358.63,42,False,False,-1
SU-10134,E-commerce,US-WestCoast,2022,2,1,0.736,Pre-Seed,177099.67,42,False,False,-1
SU-10135,EdTech,Europe,2017,5,2,0.744,Seed,911966.37,42,False,False,-1
SU-10136,Fintech,Europe,2015,5,0,0.633,Pre-Seed,134224.74,42,False,False,-1
SU-10137,Marketplace,US-WestCoast,2017,2,1,0.506,Pre-Seed,285069.4,42,False,False,-1
SU-10138,ClimateTech,US-EastCoast,2021,3,1,0.517,Seed,896349.19,42,False,False,-1
SU-10139,SaaS,India,2021,2,0,0.321,Series A,6700154.58,42,False,False,-1
SU-10140,DeepTech,India,2016,3,1,0.128,Seed,1447059.22,42,False,False,-1
SU-10141,Marketplace,LatAm,2018,1,0,0.645,Series C+,62905762.32,42,False,False,-1
SU-10142,DeepTech,India,2016,4,0,0.265,Pre-Seed,312791.14,30,True,False,29
SU-10143,ClimateTech,US-WestCoast,2021,3,1,0.579,Seed,1274362.75,15,True,False,14
SU-10144,DeepTech,US-EastCoast,2016,1,1,0.912,Seed,1279874.09,42,False,False,-1
SU-10145,SaaS,US-EastCoast,2019,5,3,0.631,Pre-Seed,360690.87,42,False,False,-1
SU-10146,Fintech,US-WestCoast,2015,2,0,0.291,Series B,24731665.95,25,True,False,24
SU-10147,AI/ML,India,2018,3,0,0.402,Series A,5054659.21,42,False,False,-1
SU-10148,ConsumerApps,SEA,2020,1,0,0.565,Pre-Seed,205097.89,18,True,False,17
SU-10149,HealthTech,Europe,2016,4,1,0.571,Seed,979820.06,17,True,False,16
SU-10150,ConsumerApps,US-Other,2016,4,1,0.121,Seed,1614779.66,42,False,False,-1
SU-10151,Marketplace,India,2019,1,0,0.434,Pre-Seed,356698.63,42,False,False,-1
SU-10152,Fintech,US-WestCoast,2014,4,1,0.562,Seed,1348396.0,42,False,False,-1
SU-10153,E-commerce,India,2017,3,1,0.106,Seed,1892670.69,42,False,False,-1
SU-10154,SaaS,Europe,2022,4,1,0.202,Series C+,55428031.95,41,False,True,40
SU-10155,EdTech,US-EastCoast,2021,3,0,0.309,Seed,1505778.5,24,True,False,23
SU-10156,AI/ML,SEA,2015,2,1,0.183,Series A,7204265.45,42,False,False,-1
SU-10157,Marketplace,US-WestCoast,2014,2,1,0.455,Pre-Seed,357771.86,42,False,False,-1
SU-10158,Marketplace,US-WestCoast,2022,3,0,0.756,Series C+,31639495.67,22,True,False,21
SU-10159,EdTech,Europe,2016,2,0,0.703,Seed,1033777.12,42,False,False,-1
SU-10160,Marketplace,SEA,2020,2,0,0.304,Seed,1757727.31,42,False,False,-1
SU-10161,SaaS,SEA,2015,4,2,0.235,Series B,19024433.29,42,False,False,-1
SU-10162,Fintech,US-WestCoast,2018,5,0,0.106,Seed,1471348.57,42,False,False,-1
SU-10163,EdTech,LatAm,2016,3,0,0.232,Series B,24710361.91,25,True,False,24
SU-10164,Fintech,US-EastCoast,2021,4,3,0.584,Pre-Seed,503607.91,42,False,False,-1
SU-10165,DeepTech,US-EastCoast,2020,5,2,0.412,Pre-Seed,230169.36,42,False,False,-1
SU-10166,Fintech,US-WestCoast,2020,2,0,0.692,Seed,938324.38,19,True,False,18
SU-10167,E-commerce,US-WestCoast,2019,1,0,0.695,Seed,1139253.58,27,True,False,26
SU-10168,Fintech,Europe,2014,3,1,0.432,Pre-Seed,278050.85,42,False,False,-1
SU-10169,EdTech,LatAm,2019,2,0,0.597,Series A,9958515.28,34,True,False,33
SU-10170,SaaS,LatAm,2018,2,0,0.742,Seed,1772296.47,17,True,False,16
SU-10171,DeepTech,LatAm,2018,3,0,0.563,Series C+,50482699.28,30,True,False,29
SU-10172,DeepTech,US-WestCoast,2016,2,1,0.615,Seed,2933572.06,19,True,False,18
SU-10173,AI/ML,US-Other,2018,3,1,0.528,Pre-Seed,284211.54,42,False,False,-1
SU-10174,HealthTech,LatAm,2021,5,0,0.603,Pre-Seed,301028.15,22,True,False,21
SU-10175,Marketplace,US-WestCoast,2016,1,0,0.567,Seed,1528487.23,42,False,False,-1
SU-10176,ConsumerApps,US-EastCoast,2017,1,0,0.146,Seed,1273378.24,26,True,False,25
SU-10177,ConsumerApps,India,2016,5,2,0.691,Series A,6687365.8,42,False,False,-1
SU-10178,ClimateTech,SEA,2019,1,0,0.414,Seed,1369905.65,42,False,False,-1
SU-10179,SaaS,US-EastCoast,2021,4,0,0.477,Seed,1738923.54,42,False,False,-1
SU-10180,AI/ML,US-EastCoast,2021,5,1,0.437,Series B,64410110.26,17,True,False,16
SU-10181,E-commerce,India,2019,1,0,0.635,Series A,5948155.13,42,False,False,-1
SU-10182,E-commerce,SEA,2022,2,0,0.715,Series C+,73482796.68,19,True,False,18
SU-10183,E-commerce,Europe,2021,2,0,0.613,Pre-Seed,281104.29,42,False,False,-1
SU-10184,ClimateTech,India,2016,1,0,0.382,Series B,13594968.74,21,True,False,20
SU-10185,AI/ML,US-WestCoast,2021,2,0,0.804,Seed,783296.53,26,True,False,25
SU-10186,Marketplace,Europe,2016,3,1,0.339,Series B,29138353.92,19,False,True,18
SU-10187,E-commerce,US-Other,2014,4,1,0.522,Series B,25824241.17,8,False,True,7
SU-10188,ConsumerApps,India,2019,3,1,0.552,Pre-Seed,159340.48,33,True,False,32
SU-10189,DeepTech,US-EastCoast,2020,1,1,0.544,Series A,4911877.11,24,True,False,23
SU-10190,HealthTech,US-EastCoast,2016,1,0,0.193,Series A,10132440.15,42,False,False,-1
SU-10191,HealthTech,US-Other,2018,3,1,0.746,Pre-Seed,295486.95,42,False,False,-1
SU-10192,Fintech,US-WestCoast,2016,4,0,0.588,Pre-Seed,483778.48,42,False,False,-1
SU-10193,Fintech,Europe,2019,4,0,0.246,Pre-Seed,292303.44,20,True,False,19
SU-10194,Marketplace,India,2014,3,1,0.402,Series B,9506154.19,31,False,True,30
SU-10195,AI/ML,US-Other,2018,5,2,0.541,Series A,7232188.09,42,False,False,-1
SU-10196,ClimateTech,US-Other,2017,3,0,0.409,Seed,1591665.52,42,False,False,-1
SU-10197,AI/ML,SEA,2020,2,0,0.117,Series A,10749072.31,31,True,False,30
SU-10198,ClimateTech,India,2019,2,0,0.432,Seed,1884201.88,24,True,False,23
SU-10199,HealthTech,India,2021,4,0,0.449,Seed,1774612.54,42,False,False,-1
SU-10200,ConsumerApps,US-WestCoast,2018,3,2,0.286,Series B,10645512.6,42,False,False,-1
SU-10201,Fintech,India,2014,5,1,0.27,Series A,4027498.98,42,False,False,-1
SU-10202,AI/ML,US-EastCoast,2015,4,0,0.455,Seed,1175061.03,42,False,False,-1
SU-10203,DeepTech,Europe,2019,2,0,0.54,Seed,826539.64,42,False,False,-1
SU-10204,SaaS,SEA,2020,3,0,0.074,Pre-Seed,258989.83,30,True,False,29
SU-10205,E-commerce,US-Other,2015,3,0,0.652,Series A,5670945.55,29,False,True,28
SU-10206,Fintech,US-WestCoast,2017,5,2,0.872,Series A,6633688.86,42,False,False,-1
SU-10207,ClimateTech,LatAm,2014,5,0,0.309,Pre-Seed,195487.55,42,False,False,-1
SU-10208,ConsumerApps,US-WestCoast,2015,4,0,0.74,Seed,1615371.45,42,False,False,-1
SU-10209,EdTech,US-WestCoast,2020,5,1,0.303,Seed,1498819.09,17,True,False,16
SU-10210,SaaS,US-WestCoast,2022,2,0,0.979,Series A,9708661.42,32,True,False,31
SU-10211,HealthTech,Europe,2016,1,0,0.592,Seed,1215254.87,23,True,False,22
SU-10212,DeepTech,India,2014,2,0,0.403,Series A,14928085.46,18,True,False,17
SU-10213,ConsumerApps,LatAm,2015,1,1,0.777,Seed,1240818.1,42,False,False,-1
SU-10214,HealthTech,US-Other,2018,4,0,0.231,Series C+,69203365.21,32,True,False,31
SU-10215,ClimateTech,Europe,2020,2,0,0.71,Series B,21479654.94,30,True,False,29
SU-10216,EdTech,India,2018,3,1,0.719,Pre-Seed,371745.68,42,False,False,-1
SU-10217,ConsumerApps,US-Other,2019,3,0,0.579,Seed,1127413.17,42,False,False,-1
SU-10218,HealthTech,US-EastCoast,2018,3,1,0.393,Series A,8915006.99,42,False,False,-1
SU-10219,SaaS,SEA,2019,5,2,0.378,Series A,7757802.06,42,False,False,-1
SU-10220,ConsumerApps,US-EastCoast,2017,4,1,0.235,Seed,1182726.48,42,False,False,-1
SU-10221,HealthTech,Europe,2018,5,1,0.252,Pre-Seed,258014.51,42,True,False,41
SU-10222,Fintech,US-Other,2022,5,0,0.58,Seed,1068414.32,18,True,False,17
SU-10223,EdTech,Europe,2020,3,1,0.97,Pre-Seed,248194.74,42,False,False,-1
SU-10224,EdTech,US-WestCoast,2022,4,0,0.516,Seed,1364084.27,20,True,False,19
SU-10225,ClimateTech,US-EastCoast,2014,3,0,0.23,Pre-Seed,293054.73,42,False,False,-1
SU-10226,EdTech,India,2015,3,0,0.065,Series A,5574654.02,30,True,False,29
SU-10227,EdTech,India,2021,5,0,0.605,Series A,2938531.93,42,False,False,-1
SU-10228,HealthTech,India,2015,2,1,0.25,Pre-Seed,359689.11,21,True,False,20
SU-10229,DeepTech,Europe,2014,2,1,0.576,Series A,5139166.54,17,True,False,16
SU-10230,AI/ML,LatAm,2020,4,1,0.248,Seed,1121236.55,42,False,False,-1
SU-10231,HealthTech,US-EastCoast,2016,3,0,0.701,Pre-Seed,364714.29,23,True,False,22
SU-10232,HealthTech,LatAm,2017,3,2,0.096,Series A,4229014.22,42,False,False,-1
SU-10233,Fintech,Europe,2015,5,0,0.874,Seed,2539691.1,42,False,False,-1
SU-10234,DeepTech,Europe,2015,2,1,0.621,Seed,1444087.0,25,True,False,24
SU-10235,HealthTech,India,2022,4,1,0.651,Seed,1063746.02,20,True,False,19
SU-10236,HealthTech,US-WestCoast,2022,3,0,0.455,Seed,1503788.48,42,False,False,-1
SU-10237,Fintech,US-WestCoast,2015,3,0,0.76,Pre-Seed,476378.95,42,False,False,-1
SU-10238,EdTech,Europe,2019,2,2,0.577,Series B,27102097.7,17,True,False,16
SU-10239,AI/ML,US-Other,2022,3,2,0.478,Series A,11257515.6,24,False,True,23
SU-10240,E-commerce,US-EastCoast,2015,2,1,0.717,Pre-Seed,149521.04,42,False,False,-1
SU-10241,HealthTech,Europe,2020,4,1,0.88,Pre-Seed,128791.51,16,True,False,15
SU-10242,Marketplace,LatAm,2014,3,0,0.424,Series B,27801479.54,42,False,False,-1
SU-10243,SaaS,US-WestCoast,2020,4,0,0.637,Pre-Seed,184838.21,42,False,False,-1
SU-10244,E-commerce,US-EastCoast,2016,2,0,0.248,Series A,9677450.54,18,True,False,17
SU-10245,Marketplace,India,2020,4,1,0.629,Pre-Seed,160120.65,42,False,False,-1
SU-10246,Marketplace,SEA,2021,3,0,0.297,Series A,6141780.87,22,True,False,21
SU-10247,AI/ML,India,2016,1,0,0.183,Pre-Seed,238704.29,15,True,False,14
SU-10248,AI/ML,India,2020,4,0,0.896,Seed,1560950.54,15,True,False,14
SU-10249,E-commerce,SEA,2016,4,0,0.365,Seed,1483946.02,30,True,False,29
SU-10250,HealthTech,India,2022,5,2,0.597,Series A,5037772.99,21,True,False,20
SU-10251,ClimateTech,Europe,2018,2,0,0.466,Seed,1265638.12,17,True,False,16
SU-10252,ConsumerApps,US-EastCoast,2017,3,2,0.883,Seed,751770.77,42,False,False,-1
SU-10253,SaaS,US-EastCoast,2019,2,0,0.264,Seed,2171637.2,17,True,False,16
SU-10254,DeepTech,SEA,2022,5,0,0.579,Pre-Seed,186257.24,42,False,False,-1
SU-10255,DeepTech,Europe,2020,4,2,0.697,Seed,1438793.81,14,True,False,13
SU-10256,Fintech,India,2015,2,0,0.364,Pre-Seed,182221.66,39,True,False,38
SU-10257,HealthTech,India,2015,4,0,0.335,Series A,8011580.45,26,False,True,25
SU-10258,SaaS,US-WestCoast,2016,2,1,0.404,Pre-Seed,249219.51,18,True,False,17
SU-10259,Fintech,US-Other,2019,2,0,0.637,Series C+,43705184.69,42,False,False,-1
SU-10260,ConsumerApps,India,2015,3,0,0.568,Series A,9839489.18,20,True,False,19
SU-10261,AI/ML,US-WestCoast,2020,3,0,0.853,Pre-Seed,382557.8,38,True,False,37
SU-10262,ConsumerApps,SEA,2020,2,0,0.74,Seed,1908167.73,42,False,False,-1
SU-10263,EdTech,US-WestCoast,2014,5,0,0.216,Series A,15954008.67,33,True,False,32
SU-10264,Marketplace,India,2015,2,0,0.287,Series A,8698440.8,19,True,False,18
SU-10265,DeepTech,India,2021,3,0,0.952,Pre-Seed,302715.79,20,True,False,19
SU-10266,HealthTech,US-Other,2016,5,0,0.513,Seed,809785.26,27,True,False,26
SU-10267,EdTech,US-EastCoast,2018,2,1,0.133,Pre-Seed,177341.3,26,True,False,25
SU-10268,HealthTech,Europe,2014,2,0,0.539,Seed,1395439.04,42,False,False,-1
SU-10269,Marketplace,India,2020,4,0,0.374,Pre-Seed,253631.66,20,True,False,19
SU-10270,SaaS,US-Other,2019,1,0,0.384,Seed,2471708.91,42,False,False,-1
SU-10271,E-commerce,Europe,2020,2,1,0.223,Pre-Seed,424077.26,23,True,False,22
SU-10272,E-commerce,LatAm,2014,4,0,0.422,Pre-Seed,296264.85,42,False,False,-1
SU-10273,DeepTech,SEA,2020,5,0,0.602,Seed,1103699.17,31,True,False,30
SU-10274,E-commerce,SEA,2018,3,1,0.58,Series A,11680831.98,22,True,False,21
SU-10275,ClimateTech,US-Other,2020,1,0,0.79,Seed,2761386.09,42,False,False,-1
SU-10276,EdTech,India,2020,2,0,0.276,Seed,1652907.02,30,True,False,29
SU-10277,E-commerce,SEA,2017,1,1,0.665,Series B,51444601.43,42,False,False,-1
SU-10278,HealthTech,US-EastCoast,2022,4,1,0.304,Pre-Seed,365793.89,42,False,False,-1
SU-10279,HealthTech,US-WestCoast,2022,3,0,0.309,Seed,1840986.82,31,True,False,30
SU-10280,SaaS,SEA,2021,3,0,0.475,Pre-Seed,171370.16,42,False,False,-1
SU-10281,AI/ML,India,2019,1,1,0.676,Pre-Seed,301936.74,42,False,False,-1
SU-10282,Marketplace,SEA,2014,5,0,0.363,Seed,1617518.04,42,False,False,-1
SU-10283,DeepTech,US-WestCoast,2015,3,1,0.834,Seed,1495659.35,42,False,False,-1
SU-10284,SaaS,LatAm,2014,4,1,0.776,Series A,6714203.38,42,False,False,-1
SU-10285,SaaS,US-EastCoast,2019,4,1,0.655,Series B,28746599.73,23,True,False,22
SU-10286,HealthTech,US-Other,2019,5,1,0.868,Series B,12317479.55,16,True,False,15
SU-10287,E-commerce,SEA,2015,5,1,0.327,Seed,1710533.36,42,False,False,-1
SU-10288,Marketplace,US-EastCoast,2020,5,1,0.243,Seed,1533967.18,42,False,False,-1
SU-10289,ConsumerApps,US-WestCoast,2017,3,0,0.37,Series A,13344058.78,12,True,False,11
SU-10290,DeepTech,US-WestCoast,2019,5,0,0.069,Series B,41110041.2,22,False,True,21
